KomNr_ny,KommuneNavn_ny,brukerbetaling_diff,brukerbetaling_diff_grupper,brukerbetaling_diff_pst
3450,Etnedal,0.023750655,100-,461.31522
3820,Seljord,0.02903698,50-,73.96936
1836,Rødøy,0.035608761,50-,73.597855
1832,Hemnes,0.019628529,50-,50.126087
1827,Dønna,0.0098444577,25-,42.571037
3824,Tokke,0.018098,25-,40.642006
1834,Lurøy,0.015432809,25-,39.122448
3821,Kviteseid,0.0197534,25-,35.266483
3823,Fyresdal,0.013820514,25-,33.7938
3051,Rollag,0.023823529,25-,30.789343
4629,Modalen,0.0050296243,25-,28.900518
3023,Nesodden,0.010665573,25-,26.799271
1820,Alstahaug,0.0082689747,0-,23.643345
4619,Eidfjord,0.0063554961,0-,22.915613
3825,Vinje,0.0072036386,0-,19.840445
5054,Indre Fosen,0.0095711462,0-,18.567799
1514,Sande,0.0071936436,0-,18.368994
5404,Vardø,0.0082845762,0-,17.441364
3052,Nore Og Uvdal,0.0038724784,0-,16.270737
5417,Salangen,0.0047039539,0-,16.270411
5422,Balsfjord,0.0066189095,0-,14.777848
1127,Randaberg,0.0045089759,0-,13.028172
4648,Bremanger,0.0055816248,0-,10.817822
5415,Lavangen,0.0038452074,0-,9.8063726
4214,Froland,0.0032501444,0-,8.2844086
5438,Lebesby,0.0030220784,0-,8.1781807
1833,Rana,0.0030677952,0-,6.8117442
4649,Stad,0.0029352047,0-,5.0989914
1525,Stranda,0.0022513159,0-,4.7680798
4644,Luster,0.0022017844,0-,4.6486311
4643,Årdal,0.0018955544,0-,4.1455383
5423,Karlsøy,0.0014131777,0-,3.8102522
3434,Lom,0.0013798922,0-,3.5287542
5419,Sørreisa,0.0014000013,0-,2.9377992
1857,Værøy,7.6278672e-4,0-,2.660367
4202,Grimstad,7.1403012e-4,0-,1.8077943
4620,Ulvik,6.0312077e-4,0-,1.3839877
5053,Inderøy,1.4533475e-4,0-,0.31470603
5437,Karasjok,-3.3610687e-4,-25-,-0.85346878
5401,Tromsø,-5.7645515e-4,-25-,-1.3693917
4651,Stryn,-0.0010192841,-25-,-1.6278956
5043,Røyrvik,-6.2079355e-4,-25-,-1.7745012
