navn;antall;kommunenummer
Oslo;4955;0301
Bergen;1329;4601
Bærum;561;3024
Trondheim;452;5001
Fredrikstad;384;3004
Lillestrøm;359;3030
Drammen;313;3005
Kristiansand;289;4204
Asker;286;3025
Stavanger;268;1103
Sarpsborg;237;3003
Indre Østfold;235;3014
Tromsø;228;5401
Lørenskog;226;3029
Moss;179;3002
Nordre Follo;169;3020
Ullensaker;164;3033
Øygarden;131;4626
Hamar;122;3403
Haugesund;111;1106
Arendal;101;4203
Sandnes;92;1108
Karmøy;92;1149
Tønsberg;92;3803
Sandefjord;80;3804
Ringsaker;79;3411
Lier;76;3049
Lillehammer;76;3405
Halden;75;3001
Askøy;75;4627
Nittedal;68;3031
Ålesund;67;1507
Enebakk;67;3028
Rælingen;65;3027
Nesodden;63;3023
Bodø;60;1804
Skien;59;3807
Eidsvoll;58;3035
Ås;57;3021
Molde;55;1506
Larvik;53;3805
Frogn;48;3022
Sola;46;1124
Hol;46;3044
Vestby;45;3019
Voss;45;4621
Osterøy;44;4630
Kristiansund;43;1505
Kongsberg;42;3006
Sør-Odal;40;3415
Ringerike;39;3007
Nes;39;3034
Gjøvik;39;3407
Stange;39;3413
Sel;38;3437
Holmestrand;38;3802
Vestvågøy;35;1860
Horten;35;3801
Færder;34;3811
Alver;34;4631
Levanger;34;5037
Elverum;33;3420
Lindesnes;32;4205
Porsgrunn;31;3806
Trysil;30;3421
Frosta;30;5036
Bjørnafjorden;29;4624
Tysvær;27;1146
Rakkestad;27;3016
Stord;27;4614
Sunnfjord;27;4647
Eigersund;26;1101
Nannestad;26;3036
Austevoll;26;4625
Sveio;25;4612
Sula;24;1531
Steinkjer;24;5006
Kongsvinger;23;3401
Ørland;23;5057
Vennesla;21;4223
Hammerfest;21;5406
Stjørdal;20;5035
Orkland;20;5059
Klepp;19;1120
Randaberg;19;1127
Fauske;19;1841
Gjesdal;18;1122
Gran;18;3446
Kinn;18;4602
Verdal;18;5038
Time;17;1121
Strand;17;1130
Ulstein;17;1516
Østre Toten;17;3442
Senja;17;5421
Nord-Fron;16;3436
Vestre Toten;16;3443
Malvik;16;5031
Aurskog-Høland;15;3026
Lunner;15;3054
Løten;15;3412
Kvam;15;4622
Stryn;15;4651
Vindafjord;14;1160
Lillesand;14;4215
Lyngdal;14;4225
Hyllestad;14;4637
Harstad;14;5402
Nord-Aurdal;13;3451
Bamble;13;3813
Askvoll;13;4645
Råde;12;3017
Gjerdrum;12;3032
Ål;12;3043
Øvre Eiker;12;3048
Gausdal;12;3441
Hå;11;1119
Rauma;11;1539
Våler;11;3018
Våler;11;3419
Hole;11;3038
Modum;11;3047
Ringebu;11;3439
Farsund;11;4206
Austrheim;11;4632
Rana;10;1833
Gol;10;3041
Hemsedal;10;3042
Jevnaker;10;3053
Nome;10;3816
Hustadvika;9;1579
Sortland;9;1870
Dovre;9;3431
Høyanger;9;4638
Oppdal;9;5021
Midtre Gauldal;9;5027
Inderøy;9;5053
Sør-Varanger;9;5444
Ørsta;8;1520
Narvik;8;1806
Engerdal;8;3425
Søndre Land;8;3447
Grimstad;8;4202
Evje og Hornnes;8;4219
Fitjar;8;4615
Kvinnherad;8;4617
Sogndal;8;4640
Gloppen;8;4650
Sande;7;1514
Volda;7;1577
Brønnøy;7;1813
Meløy;7;1837
Flakstad;7;1859
Moskenes;7;1874
Nes;7;3034
Eidskog;7;3416
Tvedestrand;7;4213
Skaun;7;5029
Alta;7;5403
Giske;6;1532
Nord-Odal;6;3414
Grue;6;3417
Åmot;6;3422
Sør-Fron;6;3438
Midt-Telemark;6;3817
Kvinesdal;6;4227
Bømlo;6;4613
Namsos;6;5007
Selbu;6;5032
Sokndal;5;1111
Vanylven;5;1511
Herøy;5;1818
Herøy;5;1515
Surnadal;5;1566
Sømna;5;1812
Dønna;5;1827
Hadsel;5;1866
Hvaler;5;3011
Marker;5;3013
Skiptvet;5;3015
Flesberg;5;3050
Notodden;5;3808
Froland;5;4214
Bykle;5;4222
Luster;5;4644
Rennebu;5;5022
Melhus;5;5028
Vadsø;5;5405
Porsanger;5;5436
Hareid;4;1517
Vestnes;4;1535
Leirfjord;4;1822
Vefsn;4;1824
Vågan;4;1865
Andøy;4;1871
Flå;4;3039
Åsnes;4;3418
Birkenes;4;4216
Etne;4;4611
Gulen;4;4635
Overhalla;4;5047
Hasvik;4;5433
Båtsfjord;4;5443
Sauda;3;1135
Aure;3;1576
Vega;3;1815
Alstahaug;3;1820
Steigen;3;1848
Aremark;3;3012
Nore og Uvdal;3;3052
Våler;3;3018
Våler;3;3419
Lom;3;3434
Kragerø;3;3814
Vinje;3;3825
Gjerstad;3;4211
Vaksdal;3;4628
Solund;3;4636
Stad;3;4649
Grong;3;5045
Indre Fosen;3;5054
Hitra;3;5056
Lavangen;3;5415
Karlsøy;3;5423
Måsøy;3;5434
Suldal;2;1134
Sykkylven;2;1528
Sunndal;2;1563
Fjord;2;1578
Træna;2;1835
Lødingen;2;1851
Øksnes;2;1868
Hurdal;2;3037
Stor-Elvdal;2;3423
Alvdal;2;3428
Os;2;3430
Lesja;2;3432
Skjåk;2;3433
Vågå;2;3435
Øyer;2;3440
Nordre Land;2;3448
Vestre Slidre;2;3452
Siljan;2;3812
Tinn;2;3818
Seljord;2;3820
Tokke;2;3824
Flekkefjord;2;4207
Iveland;2;4218
Bygland;2;4220
Ullensvang;2;4618
Ulvik;2;4620
Masfjorden;2;4634
Røros;2;5025
Heim;2;5055
Åfjord;2;5058
Kvæfjord;2;5411
Bardu;2;5416
Salangen;2;5417
Balsfjord;2;5422
Lyngen;2;5424
Nordreisa;2;5428
Nordkapp;2;5435
Lund;1;1112
Bokn;1;1145
Averøy;1;1554
Gjemnes;1;1557
Tingvoll;1;1560
Grane;1;1825
Nesna;1;1828
Hemnes;1;1832
Lurøy;1;1834
Beiarn;1;1839
Saltdal;1;1840
Sørfold;1;1845
Hamarøy;1;1875
Rollag;1;3051
Øystre Slidre;1;3453
Drangedal;1;3815
Hjartdal;1;3819
Kviteseid;1;3821
Risør;1;4201
Åmli;1;4217
Hægebostad;1;4226
Sirdal;1;4228
Tysnes;1;4616
Vik;1;4639
Årdal;1;4643
Bremanger;1;4648
Osen;1;5020
Holtålen;1;5026
Meråker;1;5034
Snåsa;1;5041
Høylandet;1;5046
Nærøysund;1;5060
Vardø;1;5404
Tjeldsund;1;5412
Ibestad;1;5413
Målselv;1;5418
Sørreisa;1;5419
Skjervøy;1;5427
Kvænangen;1;5429
Kautokeino;1;5430
Karasjok;1;5437
Tana;1;5441
Nesseby;1;5442
Bjerkreim;0;1114
Hjelmeland;0;1133
Kvitsøy;0;1144
Utsira;0;1151
Stranda;0;1525
Aukra;0;1547
Smøla;0;1573
Bindal;0;1811
Vevelstad;0;1816
Herøy;0;1818
Herøy;0;1515
Hattfjelldal;0;1826
Rødøy;0;1836
Gildeskål;0;1838
Evenes;0;1853
Røst;0;1856
Værøy;0;1857
Bø;0;1867
Sigdal;0;3045
Krødsherad;0;3046
Rendalen;0;3424
Tolga;0;3426
Tynset;0;3427
Folldal;0;3429
